SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m),Rep,Clase2
1,0.25,21,0.05403207,-1.00510442,0.01779288,0.9687041,0.09911679,-0.45130122,-41.47909927,2.48465347,-110.3186188,-2.95133018,-5.18740988,6.40437365,0.99715018,0.02315883,0.04660462,-0.0546203,0.01576478,-0.00400119,0.00498642,0,0,0,0,1,2
2,0.25,24,0.07221879,-0.99715179,-0.01569038,0.06268609,0.20411834,-0.07364268,-50.5407753,-16.39871407,-86.78749084,-0.98621827,2.09255266,12.97597122,0.99337536,0.01061293,-0.01717003,-0.11312795,0.00698347,0.00100045,0.00013403,0,0,0,0,1,2
4,0.25,25,-0.07600608,-0.99221581,-0.0596904,-0.07270677,0.2903538,0.37231457,-29.34814262,15.96024513,-100.3800049,-0.02062634,-0.37514266,-0.47227824,0.99998617,0.00019349,0.00327296,0.00412196,0.00026401,0.00060512,-0.00309048,0,0,0,0,1,2
1,0.26,22,0.05682803,-1.00344121,0.01740519,0.46930575,-0.04570656,-0.47013083,-42.26834106,2.54311609,-110.1432343,-2.94662142,-5.18273878,6.40327072,0.9971534,0.02312062,0.04656151,-0.05461378,0.01281821,-0.00438164,0.00375207,0,0,0,0,1,2
2,0.26,25,0.07815327,-0.99654692,-0.01315643,0.04537349,0.51492578,-0.08727124,-50.59923935,-16.80795097,-86.23209381,-0.98535544,2.09351063,12.98108292,0.99337029,0.01060716,-0.01717871,-0.11317219,0.00104609,0.00351173,-0.00021494,0,0,0,0,1,2
4,0.26,26,-0.07431212,-0.99276423,-0.05706139,-0.03857197,0.27378625,0.28530973,-28.73428726,18.09412384,-100.4384689,-0.02122878,-0.37782615,-0.46940362,0.99998623,0.00019876,0.00329636,0.0040969,-0.00150532,0.0032677,-0.00281986,0,0,0,0,1,2
1,0.27,23,0.0619634,-1.00361764,0.01718439,0.16052061,0.33303425,-0.54037023,-42.4437294,2.4554224,-110.6693955,-2.99967074,-5.25492191,6.41807365,0.99710786,0.02354026,0.04721785,-0.05470297,0.00752803,-0.0044232,0.0047587,0,0,0,0,1,2
2,0.27,26,0.08235838,-0.99445093,-0.01586778,0.08036279,0.46588749,-0.2280466,-50.6577034,-16.07716942,-86.99210358,-0.98418951,2.09586716,12.98566723,0.99336553,0.01060006,-0.01719987,-0.1132119,-0.00321521,0.00078422,-0.00212991,0,0,0,0,1,2
4,0.27,27,-0.07431378,-0.99420804,-0.05763515,-0.12895198,0.4478271,0.16578038,-28.47120667,17.71411896,-100.2046204,-0.02285535,-0.37920627,-0.46494132,0.99998629,0.00021287,0.00330836,0.004058,-0.00163591,0.0028098,-0.00134733,0,0,0,0,1,2
1,0.28,24,0.06825308,-1.00464118,0.01462279,0.22992653,0.49019876,-0.50052774,-42.47296143,2.28003502,-110.5232391,-2.99699402,-5.25004101,6.42266464,0.99710804,0.02351751,0.04717505,-0.05474524,0.00052904,-0.00637765,0.00670188,0,0,0,0,1,2
2,0.28,27,0.08399919,-0.99542743,-0.01667732,-0.00974456,0.24337614,-0.26465228,-50.5407753,-16.01870728,-86.17362976,-0.98463178,2.14404941,12.98223782,0.9933607,0.01065084,-0.01761744,-0.11318494,-0.00456437,-0.00002955,-0.00107544,0,0,0,0,1,2
4,0.28,28,-0.07532957,-0.99304205,-0.05893484,-0.04068797,0.46531579,0.16646701,-28.99736977,18.35720444,-100.0584641,-0.02361876,-0.38058156,-0.46023586,0.99998641,0.00021945,0.00332034,0.00401697,-0.00057204,0.00146381,-0.00235949,0,0,0,0,1,2
1,0.29,25,0.07196067,-1.00506282,0.0196666,0.44192308,0.73598194,-0.54500353,-42.47296143,2.28003502,-110.5232391,-2.99200916,-5.24478531,6.42936468,0.99710786,0.023474,0.04712832,-0.0548069,-0.00291998,-0.00145824,0.00805629,0,0,0,0,1,2
